Brain,AL_left,AL_right,CX,MB_left,MB_right,PI,SEG
Draper_F_PiezoModerate_48h_03.tif.frames,1.1623865413730106,1.0494279649288978,0.9517823750473616,1.0833595813156858,1.16482452159898,1.0877285620084565,0.7549689377812828
Draper_F_PiezoModerate_48h_03_20x.tif.frames,1.6833051230933005,1.4399647072859028,1.0527340362597168,1.137419028314936,2.369817917496876,1.2020355170878574,1.6463827052063962
Draper_F_PiezoModerate_48h_03_lowblowout.tif.frames,0.5770464562578187,0.4541607556721221,0.7039341467018689,0.6013741244478583,0.4558562506448813,0.5651196945119448,1.0
Draper_F_PiezoModerate_48h_04.tif.frames,0.618503460364094,0.7743900486037049,0.5482910683326156,0.6383427700100096,0.6370536331813332,0.6185752258038772,
Draper_F_PiezoModerate_48h_04_20x.tif.frames,0.9562798683455122,0.8355118616129578,0.9298693521959206,0.9306047566262076,0.9317449470575844,0.9298584127957836,1.520001368895939
Draper_F_PiezoModerate_48h_04_lowblowout.tif.frames,0.5620413304331168,0.6153689813142577,0.4517139657383931,0.4778598836127914,1.0,0.5258549661741334,0.4302653718270668
Draper_F_PiezoModerate_48h_05.tif.frames,1.0379459106173996,0.7193980054075595,1.1690064902245372,1.1818369525293786,0.9339941010041316,1.1669789713197305,0.934073960582911
Draper_F_PiezoModerate_48h_05_20x.tif.frames,0.9049406409544748,0.904186265753389,5.3597180772023565,4.530678788730902,0.6959569488666066,0.9039377247287482,5.431104026025267
Draper_F_PiezoModerate_48h_05_lowblowout.tif.frames,1.0476992767083655,1.0483672353855151,1.047338658813237,1.138414466397039,1.174662374512225,0.8141923536575634,0.9791387502548916
Draper_M_PiezoModerate_48h_01_20x.tif.frames,0.6317261780623753,0.4066424484657479,0.6352557828968909,0.6320984334400135,0.4084687485257485,0.6357655867392052,0.4076326919192993
Draper_M_PiezoModerate_48h_02_20x.tif.frames,1.1312184828289789,0.9922868428952216,1.0773589215299253,0.9522817858820188,1.053714765300737,1.0795977594252513,1.199052469374957
Draper_M_PiezoModerate_48h_02_lowblowout.tif.frames,1.0,1.0,1.0,1.0,1.0,1.0,0.2409819834673275
Draper_M_PiezoModerate_48h_03_20x.tif.frames,1.2668036636417068,1.876535360907249,1.3692110701699434,1.459961408941837,2.8148747483866794,1.195512835813919,1.3346437994607276
Draper_M_PiezoModerate_48h_03_lowblowout.tif.frames,0.4810664589710534,1.0161976711071268,0.8195739009881998,0.6863718809926892,0.7062554796263454,0.8271360809549058,0.9116238801569952
Stat7_F_PiezoModerate_24h_01_20x.tif.frames,0.66427011215847,0.704287363646114,1.2727174214739714,1.272551761483086,0.7652319869808768,1.277388999315174,0.6758798217157115
Stat7_F_PiezoModerate_24h_01_lowblowout.tif.frames,1.2965571291266405,1.7171209467352806,1.7290033632946162,1.4193100690148386,1.7421047771468834,1.4335547440947665,1.682808200157304
Stat7_F_PiezoModerate_48h_01_20x.tif.frames,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stat7_F_PiezoModerate_48h_01_lowblowout.tif.frames,0.6112177968025208,0.986454270670361,0.6925939122792906,0.6947948479736754,1.0361611672493565,0.9841999636982498,0.6925551920112889
Stat7_F_PiezoModerate_48h_02_20x.tif.frames,0.2888527806286325,0.529796285186576,0.2896857959304272,0.2601244266232012,0.2893249803441287,0.2356760571637614,0.5052567789131004
Stat7_F_PiezoModerate_48h_02_lowblowout.tif.frames,0.440534104265818,0.551250483017499,0.4062556375486819,0.4077380546058865,0.4902601828301546,0.4061262111986516,0.6615473051860492
Stat7_F_PiezoModerate_48h_03_lowblowout.tif.frames,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stat7_F_PiezoModerate_48h_04_lowblowout.tif.frames,1.9145350171691888,1.925658508126308,1.806836036184505,1.7985848205664106,1.915877950616112,2.1840745666391097,1.9638674949516093
Stat7_F_PiezoModerate_48h_05_lowblowout.tif.frames,0.9784148998533204,0.977914183753139,0.9807812461924604,1.0467882099128285,0.982162110879997,0.9676241543555638,0.9771394898352652
Stat7_M_PiezoModerate_48h_01_lowblowout.tif.frames,0.5325176287882912,0.5311357975006104,0.5324313284194994,0.7982728012799261,0.6148553648271355,0.5818330390614699,0.1851609725407088
Stat7_M_PiezoModerate_48h_02_20x.tif.frames,3.5005709193455017,2.4386091683106312,2.767364685298623,3.499881652210286,2.5452441979123788,2.43949452504631,2.9632005375219252
Stat7_M_PiezoModerate_48h_02_lowblowout.tif.frames,1.1294860198186152,0.9435506360004228,1.0196940074455323,0.8500758932873443,1.2696115131512182,1.0155874248008063,0.7272866797925408
Stat7_M_PiezoModerate_48h_03_20x.tif.frames,0.8646882217937286,1.1800029001329568,0.8577554987309932,1.1772781353614663,0.8552183475908529,1.0102651717427562,1.6258729231172626
Stat7_M_PiezoModerate_48h_03_lowblowout.tif.frames,0.9281865973609716,0.925793793564301,0.9322147309985448,0.935030744746056,1.0248860989526185,1.0231750009940157,1.2205558210851282
Stat92E_GFP_1week_moderate_double_f1,1.010273817418102,1.0116037272646077,0.8643848817418964,0.7588980279390634,1.0053209902934503,0.8707415471059824,0.6727348394227314
Stat92E_GFP_1week_moderate_double_f2,4.067070252418617,5.439137224624855,2.718138085044356,2.711156478318219,3.0397946873496773,2.724838433099909,4.8822578602881395
Stat92E_GFP_1week_moderate_double_f4,0.7757828262136826,0.7613229075765056,0.7482650600080466,1.5494893045193157,0.7482837582995456,0.6876678787233004,0.9999662627314228
Stat92E_GFP_1week_moderate_double_f5,0.6365049757807903,1.0,1.0,2.559601233999647,2.5606392220714276,1.0,1.8381582946657244
Stat92E_GFP_1week_moderate_double_m1,2.1896390126133896,2.0409532905703034,1.5996334704135569,1.5931991588757468,2.045910975423772,2.2422614036908484,1.4767991555313262
Stat92E_GFP_1week_moderate_double_m2,1.1022479366709326,1.0310449051860209,1.0494549531857402,1.0506037364077887,1.0278743514084483,0.9802781165519354,1.0277388535153875
Stat92E_GFP_1week_moderate_double_m3,1.120687636426435,1.665318196876589,1.1109724153212863,1.2229788210054506,1.1092603384077144,1.4228142398837245,1.4259314973710415
