Brain,ROI,Green,Red,Green_Red_Ratio,Reporter,Driver,Marker,Condition,InjuryType
UasMitoQC_RepoGal4_1week_moderate_single_f1,MB_right,0.6664292812347412,0.3333061933517456,1.9994506388647968,uasmitoqc,unknown,unknown,moderate,single
UasMitoQC_RepoGal4_1week_moderate_single_f1,PI,0.6663886308670044,0.3333061933517456,1.9993286778315256,uasmitoqc,unknown,unknown,moderate,single
UasMitoQC_RepoGal4_1week_moderate_single_f1,SEG,0.6601019501686096,0.6628280878067017,0.9958871120759036,uasmitoqc,unknown,unknown,moderate,single
Draper_Dee7_1week_moderate_single_f4,AL_left,0.651145875453949,0.2520186305046081,2.583721188192247,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f4,AL_right,1.0,0.7227253317832947,1.383651514652934,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f4,CX,1.0,1.0,1.0,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f4,MB_left,0.8699560165405273,0.8021081686019897,1.0845869056000152,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f4,MB_right,0.9961922764778136,0.6168187260627747,1.6150486915931108,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f4,PI,1.0,0.925106406211853,1.080956734582374,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f4,SEG,0.0541564784944057,0.0523536317050457,1.0344359451416298,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f3,AL_left,0.3280858099460602,0.2146601378917694,1.528396530293293,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f3,AL_right,0.3066592812538147,0.2148475348949432,1.4273344183528371,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f3,CX,0.7973478436470032,0.4810868203639984,1.6573886664442736,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f3,MB_left,0.2915263175964355,0.4289005100727081,0.6797061573720568,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f3,MB_right,0.7698156833648682,0.8684693574905396,0.8864051180680304,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f3,PI,0.8151044249534607,1.0,0.8151044249534607,unknown,unknown,draper,moderate,single
Draper_Dee7_1week_moderate_single_f3,SEG,0.0730432048439979,0.0613314658403396,1.190958080704393,unknown,unknown,draper,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f3,AL_left,0.2625360190868377,0.1034687831997871,2.5373451872910193,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f3,AL_right,0.2615425586700439,0.1034687831997871,2.5277436399830204,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f3,CX,0.2625360190868377,0.1034687831997871,2.5373451872910193,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f3,MB_left,0.2617348432540893,0.1034687831997871,2.529602022560828,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f3,MB_right,0.2625360190868377,0.1034687831997871,2.5373451872910193,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f3,PI,0.2625360190868377,0.1034687831997871,2.5373451872910193,uasmitotimer,unknown,unknown,moderate,single
UasMitoTimer_RepoGal4_1week_moderate_single_f3,SEG,0.1312680095434188,0.1034687831997871,1.2686725936455097,uasmitotimer,unknown,unknown,moderate,single
